club,name,position,cost,matches_played,goals,assists,yellow_cards,red_cards,penalty_attempted,penalty_scored,penalty_saved,avg_rating,magic_avg_rating,magic_total_points
inter,Skriniar M.,DF,20,32.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,6.28,6.68,12.8
torino,Bremer G.,DF,21,33.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,6.21,6.86,21.5
genoa,Caso G.,T,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,0.0
verona,Cetin M.,DF,4,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.75,5.66,-0.5
cagliari,Tramoni M.,MF,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,5.75,0.0
milan,Tomori F.,DF,14,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,6.47,4.6
verona,Lazovic D.,MF,20,31.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,6.03,6.56,16.5
fiorentina,Eysseric V.,T,10,13.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.69,6.23,7.0
sampdoria,Rocha K.,DF,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
udinese,Prodl S.,DF,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roma,Kumbulla M.,DF,12,18.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,5.83,5.88,0.9
genoa,Goldaniga E.,DF,9,24.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,5.89,5.77,-2.9
parma,Brunetta J.,T,13,11.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,5.59,6.0,4.5
juventus,Pinsoglio C.,GK,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,-1.0
napoli,Ghoulam F.,DF,12,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.85,5.78,-0.5
bologna,Rabbi S.,FW,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sassuolo,Boga J.,T,23,26.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,5.88,6.38,13.0
udinese,Llorente F.,FW,12,15.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,5.63,5.76,1.9
milan,Calabria D.,DF,15,31.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,6.3,6.45,4.7
lazio,Moro R.,FW,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
udinese,Scuffet S.,GK,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,-2.0
spezia,Rafael A.,GK,2,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.83,5.5,-4.0
torino,Linetty K.,MF,10,25.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,5.46,5.52,1.5
genoa,Radovanovic I.,MF,7,30.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.73,5.65,-2.4
sassuolo,Traore H.,T,18,32.0,5.0,2.0,6.0,0.0,0.0,0.0,0.0,6.1,6.7,19.2
benevento,Manfredini N.,GK,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,-1.0
fiorentina,Caceres M.,DF,12,26.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,5.67,5.98,8.1
lazio,Alia M.,GK,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crotone,Riviere E.,FW,11,13.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.53,5.76,3.0
bologna,Da Costa A.,GK,3,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.58,3.91,-10.0
torino,Milinkovic V.,GK,4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.58,4.41,-7.0
cagliari,Asamoah K.,DF,7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.57,5.57,0.0
fiorentina,Montiel T.,T,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lazio,Radu S.,DF,11,31.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,5.8,5.87,2.2
lazio,Luiz Felipe R.,DF,9,14.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.78,5.6,-2.5
crotone,Vulic M.,MF,10,23.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,5.82,5.95,3.0
napoli,Manolas K.,DF,14,28.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.98,5.89,-2.6
atalanta,Freuler R.,MF,23,33.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,6.57,6.84,8.9
juventus,Bentancur R.,MF,12,31.0,0.0,3.0,6.0,1.0,0.0,0.0,0.0,5.93,5.9,-0.9
benevento,Barba F.,DF,6,31.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,5.74,5.61,-4.0
napoli,Lobotka S.,MF,10,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.75,5.62,-0.5
spezia,Pobega T.,MF,18,20.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,5.92,6.97,21.0
benevento,Caldirola L.,DF,9,21.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,5.71,6.0,6.1
benevento,Tello A.,MF,8,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.85,6.2,3.5
napoli,Rrahmani A.,DF,14,14.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,6.1,6.35,3.5
sampdoria,Yoshida M.,DF,13,29.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,5.96,6.12,4.7
juventus,Cuadrado J.,DF,23,29.0,2.0,9.0,9.0,1.0,1.0,1.0,0.0,6.32,6.75,12.5
milan,Gabbia M.,DF,5,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.07,5.92,-1.1
sassuolo,Romagna F.,DF,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sampdoria,Quagliarella F.,FW,29,31.0,13.0,0.0,1.0,0.0,3.0,2.0,1.0,6.04,7.19,35.7
parma,Zirkzee J.,FW,15,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.5,0.0
cagliari,Carboni A.,DF,6,14.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.71,5.71,0.0
sassuolo,Oddei B.,T,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.66,2.0
inter,Barella N.,MF,24,36.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,6.52,6.9,13.7
inter,Sensi S.,MF,14,16.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.06,5.96,-1.6
genoa,Shomurodov E.,FW,22,30.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,5.96,6.78,24.6
parma,Valenti L.,DF,7,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.77,5.77,0.0
benevento,Foulon D.,DF,4,19.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.57,5.36,-4.0
lazio,Strakosha T.,GK,18,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.05,4.44,-14.5
udinese,Pereyra R.,MF,20,34.0,5.0,5.0,8.0,0.0,1.0,1.0,0.0,6.17,6.79,21.1
crotone,Crespi G.,GK,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0
verona,Salcedo E.,FW,14,16.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,5.84,6.12,4.5
milan,Krunic R.,MF,11,17.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,5.76,6.05,5.0
spezia,Farias D.,T,14,26.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,5.79,6.22,11.6
udinese,Nestorovski I.,FW,14,13.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.85,6.35,7.0
torino,Izzo A.,DF,18,25.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,6.4,6.7,7.5
lazio,Cataldi D.,MF,7,13.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.46,5.3,-2.1
fiorentina,Bonaventura G.,MF,17,32.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,5.87,6.23,11.6
parma,Kucka J.,MF,24,28.0,7.0,2.0,8.0,0.0,4.0,4.0,0.0,6.03,6.96,26.1
spezia,Mattiello F.,DF,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.5,0.0
verona,Lasagna K.,FW,15,34.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,5.64,5.98,11.5
inter,Padelli D.,GK,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,-1.0
fiorentina,Milenkovic N.,DF,13,34.0,3.0,0.0,7.0,1.0,0.0,0.0,0.0,5.76,6.02,8.9
bologna,Schouten J.,MF,11,34.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,6.05,6.05,0.0
cagliari,Cragno A.,GK,20,34.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.35,4.77,-53.7
parma,Dierckx D.,DF,1,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.42,5.35,-0.4
genoa,Cleonise D.,T,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fiorentina,Biraghi C.,DF,12,35.0,1.0,5.0,8.0,0.0,0.0,0.0,0.0,5.85,6.01,5.6
verona,Vieira R.,MF,7,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.12,6.0,-0.5
roma,Perez C.,T,16,15.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.78,6.21,6.9
bologna,Farago P.,DF,7,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.58,5.41,-1.0
atalanta,Kovalenko V.,T,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crotone,Di Carmine S.,FW,12,18.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.61,5.55,-1.1
bologna,Baldursson A.,MF,1,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.7,5.5,-1.0
cagliari,Rugani D.,DF,12,12.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.83,6.2,4.4
lazio,Fares M.,DF,6,21.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,5.38,5.3,-1.7
fiorentina,Amrabat S.,MF,12,29.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,5.91,5.79,-3.5
verona,Dawidowicz P.,DF,7,27.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,5.85,5.7,-4.1
parma,Brugman G.,MF,13,24.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,6.08,6.14,1.5
bologna,Orsolini R.,T,23,32.0,7.0,3.0,0.0,0.0,3.0,3.0,0.0,5.9,6.65,24.0
sassuolo,Marlon -.,DF,7,22.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,5.79,5.65,-3.1
udinese,Rodrigo Becao N.,DF,11,33.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,5.81,5.87,2.0
sampdoria,Thorsby M.,MF,14,33.0,3.0,1.0,10.0,0.0,0.0,0.0,0.0,6.06,6.3,7.9
benevento,Gori P.,GK,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
genoa,Zapata C.,DF,7,12.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.83,5.75,-1.0
verona,Udogie D.,DF,1,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.9,5.8,-0.5
fiorentina,Venuti L.,DF,8,24.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.79,5.7,-2.2
atalanta,Ilicic J.,T,30,28.0,6.0,9.0,2.0,0.0,2.0,2.0,0.0,6.19,7.12,26.1
spezia,Bastoni S.,DF,10,21.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,6.02,6.35,7.0
lazio,Lazzari M.,DF,16,32.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,6.04,6.32,8.9
juventus,Alex Sandro L.,DF,18,24.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,6.29,7.0
torino,Lyanco S.,DF,5,23.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,5.63,5.45,-4.1
milan,Hauge J.,T,14,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.5,6.0
verona,Ceccherini F.,DF,10,27.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.98,5.72,-7.1
genoa,Melegoni F.,MF,6,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.83,5.77,-0.6
atalanta,Radunovic B.,GK,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inter,Vecino M.,MF,15,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.33,7.16,5.0
juventus,Buffon G.,GK,11,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.25,-2.0
atalanta,Toloi R.,DF,15,31.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,6.03,6.16,4.1
lazio,Caicedo F.,FW,23,22.0,8.0,0.0,5.0,0.0,1.0,1.0,0.0,6.18,7.15,21.3
milan,Kessie F.,MF,33,37.0,13.0,4.0,8.0,0.0,13.0,11.0,2.0,6.52,7.77,46.3
verona,Magnani G.,DF,9,23.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,6.13,5.86,-6.2
verona,Tameze A.,MF,11,32.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,6.04,6.07,0.9
torino,Bonazzoli F.,FW,16,15.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,5.76,6.33,8.6
inter,Brozovic M.,MF,18,33.0,2.0,6.0,7.0,1.0,0.0,0.0,0.0,6.03,6.31,9.2
cagliari,Klavan R.,DF,6,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.54,5.5,-0.5
parma,Karamoh Y.,T,11,21.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,5.59,5.9,6.5
lazio,Luis Alberto R.,MF,28,34.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0,6.13,7.11,33.3
parma,Nicolussi Caviglia H.,MF,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
milan,Romagnoli A.,DF,14,22.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,5.9,6.0,2.2
bologna,Ravaglia F.,GK,2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.62,3.12,-10.0
fiorentina,Rosati A.,GK,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,Soriano R.,MF,26,37.0,9.0,4.0,5.0,0.0,0.0,0.0,0.0,6.35,7.36,37.3
sampdoria,Colley O.,DF,14,29.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,6.01,6.22,6.1
cagliari,Nandez N.,MF,18,32.0,2.0,3.0,7.0,1.0,0.0,0.0,0.0,6.14,6.34,6.4
sassuolo,Consigli A.,GK,20,37.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.37,4.93,-53.3
sassuolo,Berardi D.,T,39,30.0,17.0,7.0,4.0,0.0,8.0,7.0,1.0,6.45,8.21,52.8
bologna,Medel G.,MF,9,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.77,5.81,0.4
parma,Osorio Y.,DF,8,23.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.73,5.69,-0.9
bologna,Dominguez N.,MF,10,25.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,5.82,5.82,0.0
benevento,Viola N.,MF,19,17.0,5.0,1.0,1.0,0.0,4.0,4.0,0.0,6.0,7.2,20.4
benevento,Iago F.,T,19,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.44,4.0
roma,Reynolds B.,DF,7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,0.0
inter,Handanovic S.,GK,23,37.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,5.22,-28.9
roma,Villar G.,MF,8,28.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,5.94,5.85,-2.5
udinese,Walace -.,MF,8,29.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.77,5.7,-2.0
atalanta,Muriel L.,FW,41,32.0,22.0,7.0,0.0,0.0,3.0,2.0,1.0,6.57,8.76,70.1
atalanta,Miranchuk A.,T,24,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.03,7.03,16.0
sassuolo,Turati S.,GK,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
genoa,Pellegrini L.,DF,10,11.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.72,5.54,-2.0
roma,Pellegrini L.,MF,26,33.0,7.0,5.0,10.0,0.0,1.0,1.0,0.0,6.27,7.12,28.1
parma,Iacoponi S.,DF,7,15.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,5.76,5.33,-6.4
udinese,Deulofeu G.,T,20,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.04,6.4,4.0
crotone,Rojas L.,T,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.5,0.0
udinese,Arslan T.,MF,13,28.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,5.92,6.19,7.5
parma,Mihaila V.,T,12,15.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,6.53,8.0
roma,Darboe E.,MF,5,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.87,5.62,-1.0
benevento,Dabo B.,MF,9,18.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.77,5.66,-2.0
sassuolo,Obiang P.,MF,9,26.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,5.9,5.82,-2.1
inter,Eriksen C.,T,24,24.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,6.06,6.54,11.6
udinese,Bonifazi K.,DF,9,28.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.89,5.82,-1.9
benevento,Tuia A.,DF,8,27.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,5.74,5.79,1.3
sampdoria,Regini V.,DF,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,-2.0
roma,Mayoral B.,FW,22,23.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,5.86,7.28,32.6
roma,Zaniolo N.,T,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lazio,Immobile C.,FW,39,35.0,20.0,4.0,3.0,1.0,8.0,4.0,4.0,6.2,7.61,49.4
bologna,De Silvestri L.,DF,12,28.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,5.82,6.07,7.0
genoa,Ebongue S.,MF,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0
torino,Sanabria A.,FW,18,14.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,5.92,7.0,15.1
spezia,Verde D.,T,21,19.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,19.0
sampdoria,Keita B.,FW,20,22.0,7.0,1.0,4.0,1.0,0.0,0.0,0.0,5.95,6.81,18.9
bologna,Vignato E.,T,14,25.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,6.0,6.2,5.0
cagliari,Nainggolan R.,MF,19,23.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,6.08,6.15,1.7
genoa,Ghiglione P.,DF,9,23.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,5.78,5.86,1.9
cagliari,Walukiewicz S.,DF,7,19.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.76,5.78,0.4
inter,Pinamonti A.,FW,13,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,6.3,3.0
spezia,Sala J.,DF,4,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.25,5.16,-0.5
bologna,Santander F.,FW,10,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.5,6.0,1.0
benevento,Moncini G.,FW,11,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.83,5.83,0.0
juventus,Szczesny W.,GK,24,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.31,5.48,-24.9
verona,Faraoni D.,DF,23,34.0,4.0,5.0,8.0,0.0,0.0,0.0,0.0,6.11,6.67,19.1
torino,Ferigra E.,DF,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parma,Hernani A.,MF,18,31.0,7.0,3.0,11.0,0.0,1.0,1.0,0.0,5.8,6.62,25.4
cagliari,Calabresi A.,DF,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0
genoa,Portanova M.,MF,4,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.9,5.8,-0.5
milan,Leao R.,FW,18,29.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,5.94,6.7,22.0
parma,Zagaritis V.,DF,5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,5.75,0.0
juventus,De Ligt M.,DF,18,25.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,6.16,6.3,3.5
roma,Fuzato D.,GK,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,4.9,-7.0
sampdoria,Audero E.,GK,20,37.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.32,5.05,-46.9
spezia,Estevez N.,MF,10,26.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,5.92,5.9,-0.5
verona,Zaccagni M.,T,19,35.0,5.0,5.0,6.0,0.0,1.0,1.0,0.0,6.25,6.88,22.0
benevento,Ionita A.,MF,13,36.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,5.73,5.87,5.0
milan,Kalulu P.,DF,6,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,6.4,4.0
udinese,Jajalo M.,MF,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0
milan,Tatarusanu C.,GK,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,-3.0
cagliari,Sottil R.,T,13,20.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,5.97,6.35,7.6
lazio,Parolo M.,MF,11,13.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,5.8,5.8,0.0
parma,Gagliolo R.,DF,13,26.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,5.75,5.98,6.0
roma,Pedro -.,T,19,26.0,5.0,2.0,3.0,1.0,0.0,0.0,0.0,5.8,6.36,14.6
juventus,Dragusin R.,DF,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verona,Kalinic N.,FW,15,18.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.75,6.02,4.9
verona,Silvestri M.,GK,16,34.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.2,4.92,-43.5
spezia,Chabot J.,DF,6,22.0,1.0,1.0,9.0,1.0,0.0,0.0,0.0,5.56,5.56,0.0
cagliari,Lykogiannis C.,DF,12,30.0,4.0,2.0,6.0,2.0,0.0,0.0,0.0,5.65,6.15,15.0
spezia,Zoet J.,GK,10,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.14,4.35,-12.5
torino,Rodriguez R.,DF,8,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.56,5.53,-0.5
napoli,Elmas E.,MF,13,17.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.73,6.14,7.0
milan,Dalot D.,DF,11,18.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,5.83,6.02,3.5
bologna,Juwara M.,T,5,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.16,6.0,-0.5
juventus,Arthur -.,MF,16,19.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,5.81,5.94,2.5
sassuolo,Haraslin L.,T,8,11.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.72,5.59,-1.4
lazio,Leiva L.,MF,11,32.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.82,5.67,-4.8
sassuolo,Raspadori G.,FW,22,20.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,6.22,7.1,17.6
sampdoria,La Gumina A.,FW,7,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.66,5.66,0.0
parma,Sepe L.,GK,8,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.95,3.84,-76.0
inter,Lukaku R.,FW,47,35.0,24.0,10.0,4.0,0.0,6.0,6.0,0.0,6.7,8.98,79.8
fiorentina,Dragowski B.,GK,18,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.23,4.87,-49.0
torino,Vojvoda M.,DF,11,19.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,5.76,6.23,9.0
inter,Radu I.,GK,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.5,-1.0
sampdoria,Ekdal A.,MF,13,29.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0,5.94,6.1,4.6
verona,Sturaro S.,MF,9,15.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,5.76,5.83,1.1
crotone,Mazzotta A.,DF,4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.5,-0.5
udinese,Gasparini M.,GK,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roma,Cristante B.,MF,14,31.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,6.01,6.0,-0.3
udinese,Pussetto I.,T,17,11.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,6.22,7.04,9.0
benevento,Antei L.,DF,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benevento,Gaich A.,FW,14,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.57,6.03,6.0
fiorentina,Brancolini F.,GK,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verona,Veloso M.,MF,17,19.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,6.05,6.55,9.5
lazio,Reina P.,GK,11,29.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.03,4.6,-41.5
inter,Darmian M.,DF,19,22.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,6.18,6.84,14.5
lazio,Marusic A.,DF,12,36.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,5.79,6.02,8.3
roma,Smalling C.,DF,17,14.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,6.1,6.07,-0.4
benevento,Sau M.,FW,17,20.0,4.0,2.0,0.0,1.0,1.0,1.0,0.0,5.85,6.5,13.0
juventus,Rabiot A.,MF,18,33.0,4.0,1.0,5.0,1.0,0.0,0.0,0.0,5.9,6.31,13.5
lazio,Escalante G.,MF,8,18.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.8,5.66,-2.5
inter,Vidal A.,MF,20,20.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,6.05,6.17,2.4
